                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                0.73098,                0.42253,                 1.0117,                0.98383,                      1,                 0.9945,                0.70055,                 0.8753,                0.42818,                 1.0771,              0.0015079,              0.0015079,              0.0015079
                    108,                0.83641,                0.43016,                0.92678,                0.98777,                      1,                 0.9949,                0.69797,                0.90992,                  0.449,                 1.0823,              0.0015064,              0.0015064,              0.0015064
                    109,                0.85831,                0.42186,                0.95567,                0.98777,                      1,                 0.9949,                0.69797,                0.90992,                  0.449,                 1.0823,              0.0015049,              0.0015049,              0.0015049
                    110,                 0.8091,                0.50652,                 1.1042,                0.99604,                  0.995,                0.99495,                0.71602,                0.89077,                0.39845,                 1.0726,              0.0015034,              0.0015034,              0.0015034
                    111,                0.92192,                0.46872,                 1.0275,                0.99604,                  0.995,                0.99495,                0.71602,                0.89077,                0.39845,                 1.0726,              0.0015019,              0.0015019,              0.0015019
                    112,                0.96827,                0.43926,                 1.0444,                0.99784,                 0.9972,                  0.995,                0.72028,                0.87037,                0.40448,                 1.0636,              0.0015004,              0.0015004,              0.0015004
                    113,                0.75715,                0.45026,                 1.0566,                0.99784,                 0.9972,                  0.995,                0.72028,                0.87037,                0.40448,                 1.0636,              0.0014989,              0.0014989,              0.0014989
                    114,                0.83824,                0.43858,                0.99357,                0.99723,                      1,                  0.995,                0.70646,                0.96531,                0.44459,                  1.141,              0.0014973,              0.0014973,              0.0014973
                    115,                0.83938,                 0.4552,                 1.0899,                0.99723,                      1,                  0.995,                0.70646,                0.96531,                0.44459,                  1.141,              0.0014958,              0.0014958,              0.0014958
                    116,                0.83998,                0.44436,                 1.0324,                0.99531,                      1,                  0.995,                0.71161,                0.91716,                 0.4765,                 1.1006,              0.0014943,              0.0014943,              0.0014943
                    117,                 0.8337,                0.43488,                 1.0599,                0.99531,                      1,                  0.995,                0.71161,                0.91716,                 0.4765,                 1.1006,              0.0014928,              0.0014928,              0.0014928
                    118,                0.78214,                0.42189,                 0.9664,                0.99084,                      1,                0.99495,                0.71206,                0.87266,                0.41724,                 1.0654,              0.0014913,              0.0014913,              0.0014913
                    119,                 1.0099,                0.44049,                 1.0882,                0.99084,                      1,                0.99495,                0.71206,                0.87266,                0.41724,                 1.0654,              0.0014898,              0.0014898,              0.0014898
